"Experiment","Citation","Depth","Sample.date","Time.(years)","ambient.CO2.(mean).g.C.m-2","increased.CO2.(mean).g.C.m-2","ambient.CO2.(number)","increased.CO2.(number)","Description.of.data.source","Value.treatment"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","nov. 1995",0,1292.84,1172.4,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","may 1996",0.5,1453.08,1350.36,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","dec. 1996",1,1312.56,1176.92,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)"
"ArizonaFACE - wheat - high N","Leavitt et al. 2001","0-15 cm","may 1997",1.5,1246,1472.08,4,4,"fig. 3","assumed BD= 1.48 g/cm3 (Post et al. 1988)"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 1999",0,5863,6391.43421052631,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2000",1,5255.57142857143,4698.13157894737,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2001",2,6145.09090909091,4790.76608187134,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2002",3,5433,4159.78947368421,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
"Biosphere 2","Trueman and  Gonzalez-Meler 2005","0-25 cm","average 2003",4,5266,4296.35087719298,1,1,"fig. 3","bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
"China FACE - low N","Zhong et al. 2009","0-15 cm","mar. 2008",3.66,1910.62,2170.4,3,3,"table 1","bulk density: 1.16 g/cm3 f(text)"
